system:index,BareGround,BioRegion,Biome,ID,Month,Notes,Year,aspect,blue,bsi,calcite,chlorite,clay,dolomite,elevation,evi,exg,goethite,green,gypsum,hematite,illite_muscovite,kaolinite,landforms,meanAnnualPrecipitation,msavi,ndmi,ndvi,nir,nitrogen,osavi,ph,phosphorous,potassium,red,sand,satvi,savi,silt,slope,soc,soil_depth,stone,swir1,swir2,swirRatio,tc_bright,tc_green,tc_wet,vegType,vermiculite,.geo
00000000000000000001,100.0,Inland Saline Vegetation,Azonal Vegetation,F_0002,7,_Plain,2024,0.0,0.06941125489764317,0.13028468608912588,0.0,0.0,17.38315988647114,0.0,844.0,0.07810310504153412,-0.0018447598155196703,0.0,0.11444519714662907,0.0,0.059867306211531544,0.03692692989094029,0.0,5.0,242.0,0.07675193573719168,0.01832331686528257,0.13786732781125105,0.21265599460058202,45.94323557237464,0.11192052125536053,75.2336802270577,20.0,52.23368022705771,0.16085445789255504,60.97161778618732,0.017761386727408457,0.08836414269546122,15.786187322611166,0.0,229.7251655629139,155.45411542100285,14.213812677388834,0.2046404332345459,0.17127433069607165,1.1948343032694357,0.37813213549364033,0.029844798708057896,-0.09898228969428487,9.0,0.0,"{""type"":""Point"",""coordinates"":[23.57657824527807,-32.479338485221746]}"
00000000000000000002,100.0,Inland Saline Vegetation,Azonal Vegetation,F_0003,7,Karri grove_Plain,2024,-0.5498240025631591,0.12418948334337182,0.18058884383966206,0.02901516155830967,0.0,18.270793950850667,0.0,642.0,0.07797359933263302,-0.01278497293478825,0.06327390807393819,0.20331580410861116,0.0,0.07958783027636758,0.030006672306750363,0.0,5.0,287.0,0.0847597607113914,-0.051454090041465825,0.10712653033731118,0.36533805033604017,48.03308128544425,0.09932903330667485,72.23771266540643,20.931947069943295,46.20321361058601,0.2956570500687526,59.6436672967864,-0.0274328660912678,0.09072414383165443,17.492911153119096,1.0101834887423904,,178.03308128544424,10.439508506616257,0.4060895815491677,0.3568292227776155,1.136426193671326,0.7016939303938067,0.03292195309509853,-0.2339341152170656,9.0,0.0,"{""type"":""Point"",""coordinates"":[24.488321719474044,-32.43765034947308]}"
00000000000000000003,32.3,Inland Saline Vegetation,Azonal Vegetation,F_0004,7,Karri grove_Plain,2024,-0.13898553809160338,0.05148153027953108,0.12561630472888385,0.05771761525888661,0.0,18.678248453117565,0.03610605600049302,648.0,0.19000540069459113,0.013370625146339759,0.0,0.09051858591911398,0.0,0.05956080910004588,0.0,0.0,5.0,288.0,0.17884381716163994,-0.04580465816262789,0.34328687840674627,0.2283401978988979,60.43360304616851,0.26789018876322224,72.75535459305092,21.579247977153738,51.67824845311756,0.10927942563300473,56.12327463112803,0.23347454125514658,0.20435510118310649,18.755354593050928,0.16131557537679841,,200.0,11.099000475963827,0.2456481653145528,0.18712232088486622,1.302658336551799,0.37450994811473376,0.07086791075776726,-0.1551809482336725,9.0,0.0,"{""type"":""Point"",""coordinates"":[24.4934407674834,-32.42883916579147]}"
0000000000000000000a,94.6,Inland Saline Vegetation,Azonal Vegetation,F_0011,10,_Plain,2024,0.08936376881981545,0.12578761704978925,0.1608461368541338,0.0,0.0,21.52161243322001,0.0,903.0,0.07301234840015115,-0.009150764399677182,0.06828347992309383,0.1966483823415896,0.0,0.05674227957639549,0.04006151912888604,0.0,5.0,150.0,0.07433974563771513,-0.03732309913992766,0.09902668371977535,0.3360842844130288,47.190383681398735,0.09046091482354462,79.2510927634774,17.0,50.0,0.2771031479339915,64.20981058766391,-0.03645307142441281,0.08053700024494562,17.52161243322001,0.08287684809762103,163.29868868382707,120.56046624575038,14.270519669742594,0.3631153734000115,0.3325447552466983,1.0886128292088373,0.6502153215737178,0.02332567687735736,-0.20663164354111746,8.0,0.0,"{""type"":""Point"",""coordinates"":[20.56899930764884,-30.34841881469998]}"
0000000000000000003a,100.0,Inland Saline Vegetation,Azonal Vegetation,F_0059,3,Karoo Secret_Plain,2025,0.0,0.17016225175285254,0.14939104955099114,0.0,0.0,17.32590132827325,0.0,844.0,0.09999805069625717,-0.011000124309954203,0.0,0.25700452112269356,0.0,0.05988950047649062,0.03708672864924573,0.0,5.0,242.0,0.10269075958676764,-0.03308176250326,0.1156056012102956,0.44723640891247957,46.31214421252372,0.11136146178875524,75.34819734345353,20.0,52.34819734345351,0.35484689315763335,61.15607210626186,-0.0709531428875575,0.10606970907360373,15.6949715370019,0.0,228.18074003795067,155.81641366223909,14.305028462998104,0.47793803591655837,0.4320907893624207,1.1054670559613484,0.8497687155766099,0.04037093931713638,-0.27225054752442146,9.0,0.0,"{""type"":""Point"",""coordinates"":[23.576587163480173,-32.47931173061542]}"
0000000000000000003d,53.8,Inland Saline Vegetation,Azonal Vegetation,F_0062,3,Karri Grove_Plain,2025,-0.13190972492373285,0.0565243353197972,0.10026018232461952,0.05732213054739293,0.0,18.691428571428574,0.038149393154751694,648.0,0.21408827540420353,0.025036674484255773,0.0,0.10104611351376488,0.0,0.05982446561611835,0.0,0.0,5.0,288.0,0.20412702484499842,-0.009976209301856302,0.3554816120153382,0.25355331237827033,60.41476190476192,0.288783584634463,72.72333333333336,21.578095238095237,51.691428571428574,0.12053121668951852,56.252857142857145,0.21564972488653095,0.22818189324367613,18.723333333333336,0.16156960353964853,,200.0,11.113333333333333,0.25850334986334755,0.20252725273370745,1.2765551489875433,0.4044328215718269,0.08326765128544397,-0.15983090937847183,9.0,0.0,"{""type"":""Point"",""coordinates"":[24.493431849281297,-32.42883916579147]}"
0000000000000000003e,100.0,Inland Saline Vegetation,Azonal Vegetation,F_0063,3,Karri Grove_Plain,2025,-0.4828604614703801,0.11764106136886272,0.1876982219594476,0.029117001950017526,0.0,18.273798303487283,0.0,642.0,0.08094092474988786,-0.017194365336437704,0.06313812101398517,0.19986253565319526,0.0,0.08004611160370902,0.029853911767560113,0.0,5.0,287.0,0.0893374528002054,-0.0571203399045809,0.11004893486998085,0.37333132080825066,48.065975494816215,0.10312500015659563,72.20782280867107,20.854853911404344,46.13195098963243,0.29927837385196493,59.76531573986805,-0.02369529015624248,0.09469100106489986,17.52827521206409,1.025950387218558,,178.06597549481623,10.329877474081059,0.41850806389295414,0.368160728993672,1.136897186925117,0.7141279845615247,0.03643383681563473,-0.24597761640983523,9.0,0.0,"{""type"":""Point"",""coordinates"":[24.48833063767615,-32.43763697216992]}"
0000000000000000005e,100.0,Inland Saline Vegetation,Azonal Vegetation,F_0095,4,Rietkolk_Plain,2025,0.4164680750402327,0.11173871425260978,0.1817072361348623,0.0,0.0,18.45204819277108,0.0,901.5334939759034,0.0675983828737075,-0.007188298178006366,0.06323529779911041,0.18467079776597312,0.0,0.0580074024254299,0.049141508001519965,0.0,6.0,150.0,0.07026038689785692,-0.06283589897924158,0.09500100592532787,0.321231548829251,51.124337349397585,0.08510997536311664,80.03951807228914,18.0,51.0,0.2640509144225752,64.31084337349397,-0.018160001918314444,0.07598823496376174,16.0,3.332520215482596,110.12144578313251,105.09590361445782,13.248674698795178,0.3654119388310305,0.34875528803790895,1.075265899451382,0.6349138224268533,0.018380554379468943,-0.23161213615572596,8.0,0.0,"{""type"":""Point"",""coordinates"":[20.554235224060882,-30.34774103133985]}"
00000000000000000067,73.1,Inland Saline Vegetation,Azonal Vegetation,F_0104,4,Vleiwerf_Plain,2025,0.0,0.059354145385965826,0.09748239305044011,0.01866545507855309,0.0,20.883709754925512,0.0,1068.0,0.16743733126317467,0.008404281927502711,0.05891398673430479,0.10342736101491357,0.0,0.08710179155704094,0.018570446714057137,0.01568627543747425,5.0,172.0,0.16427230110310523,0.02421044999422977,0.29119259204960746,0.24866468341576264,54.88370975492551,0.2346506056190969,80.88370975492552,21.883709754925516,52.0,0.13909630053164238,62.88370975492551,0.1358557910099447,0.18537927398539575,19.0,0.0,171.2085535800096,167.69774147044689,14.0,0.23980885921677164,0.1906872561048396,1.2878833768002294,0.40147069186788525,0.07084470235817365,-0.1347877195481782,8.0,0.0,"{""type"":""Point"",""coordinates"":[21.09683201754734,-31.347493783027684]}"
00000000000000000000,59.1,Lower Karoo Bioregion,Nama-Karoo,F_0001,7,_Slope,2024,0.9597621545625117,0.04507870753948309,0.12201726642258094,0.04940151910777613,0.0,23.277323420074353,0.04815798138673119,850.6883610451308,0.12889401851810356,0.0072192932215835596,0.05445911587523452,0.0714402062451188,0.0,0.048756463024013125,0.0,0.0,4.0,240.0,0.11681683755827063,-0.03280608464793398,0.27566613918811866,0.15977902463382893,64.0,0.19509929847547394,76.0,22.0,51.0,0.09068210773046115,54.27732342007435,0.18072236890322807,0.1393484208122285,18.0,1.941001558530359,188.65273159144894,159.0,16.0,0.17049529789604087,0.12478235516511349,1.3662721861003415,0.2682441742289944,0.04357664556443834,-0.09635707969266274,5.0,0.0,"{""type"":""Point"",""coordinates"":[23.549101264586742,-32.48976832258575]}"
